nohup: ignoring input
/root/dashboardvivera-prod/pipeline_tracker.py:201: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  now = datetime.utcnow()
No previous state found -> running FULL backfill (all deals).
Deals to scan: 2441
0/2441 processed, 0 new events
25/2441 processed, 1 new events
50/2441 processed, 3 new events
75/2441 processed, 4 new events
100/2441 processed, 7 new events
125/2441 processed, 7 new events
150/2441 processed, 10 new events
175/2441 processed, 10 new events
200/2441 processed, 11 new events
225/2441 processed, 14 new events
250/2441 processed, 15 new events
275/2441 processed, 20 new events
300/2441 processed, 26 new events
325/2441 processed, 28 new events
350/2441 processed, 33 new events
375/2441 processed, 35 new events
400/2441 processed, 45 new events
425/2441 processed, 47 new events
450/2441 processed, 49 new events
475/2441 processed, 52 new events
500/2441 processed, 56 new events
525/2441 processed, 64 new events
550/2441 processed, 69 new events
575/2441 processed, 74 new events
600/2441 processed, 76 new events
625/2441 processed, 80 new events
650/2441 processed, 86 new events
675/2441 processed, 88 new events
700/2441 processed, 91 new events
725/2441 processed, 96 new events
750/2441 processed, 97 new events
775/2441 processed, 99 new events
800/2441 processed, 104 new events
825/2441 processed, 109 new events
850/2441 processed, 110 new events
875/2441 processed, 114 new events
900/2441 processed, 117 new events
925/2441 processed, 118 new events
950/2441 processed, 120 new events
975/2441 processed, 122 new events
1000/2441 processed, 126 new events
1025/2441 processed, 131 new events
1050/2441 processed, 135 new events
1075/2441 processed, 140 new events
1100/2441 processed, 143 new events
1125/2441 processed, 146 new events
1150/2441 processed, 151 new events
1175/2441 processed, 153 new events
1200/2441 processed, 155 new events
1225/2441 processed, 159 new events
1250/2441 processed, 159 new events
1275/2441 processed, 162 new events
1300/2441 processed, 168 new events
1325/2441 processed, 170 new events
1350/2441 processed, 173 new events
1375/2441 processed, 177 new events
1400/2441 processed, 177 new events
1425/2441 processed, 181 new events
1450/2441 processed, 182 new events
1475/2441 processed, 184 new events
1500/2441 processed, 187 new events
1525/2441 processed, 194 new events
1550/2441 processed, 197 new events
1575/2441 processed, 201 new events
1600/2441 processed, 205 new events
1625/2441 processed, 211 new events
1650/2441 processed, 215 new events
1675/2441 processed, 216 new events
1700/2441 processed, 220 new events
1725/2441 processed, 229 new events
1750/2441 processed, 232 new events
1775/2441 processed, 235 new events
1800/2441 processed, 236 new events
1825/2441 processed, 244 new events
1850/2441 processed, 247 new events
1875/2441 processed, 250 new events
1900/2441 processed, 252 new events
1925/2441 processed, 253 new events
1950/2441 processed, 255 new events
1975/2441 processed, 258 new events
2000/2441 processed, 264 new events
2025/2441 processed, 266 new events
2050/2441 processed, 266 new events
2075/2441 processed, 270 new events
2100/2441 processed, 271 new events
2125/2441 processed, 272 new events
2150/2441 processed, 278 new events
2175/2441 processed, 282 new events
2200/2441 processed, 282 new events
2225/2441 processed, 284 new events
2250/2441 processed, 284 new events
2275/2441 processed, 285 new events
2300/2441 processed, 286 new events
2325/2441 processed, 288 new events
2350/2441 processed, 290 new events
2375/2441 processed, 291 new events
2400/2441 processed, 292 new events
2425/2441 processed, 292 new events
New events this run: 292. Report rows total: 292.
