nohup: ignoring input
Fetching all deals...
Total deals: 2438
0/2438 processed, 0 found
25/2438 processed, 1 found
50/2438 processed, 3 found
75/2438 processed, 4 found
100/2438 processed, 5 found
125/2438 processed, 5 found
150/2438 processed, 6 found
175/2438 processed, 6 found
200/2438 processed, 6 found
225/2438 processed, 6 found
250/2438 processed, 7 found
275/2438 processed, 8 found
300/2438 processed, 10 found
325/2438 processed, 11 found
350/2438 processed, 12 found
375/2438 processed, 13 found
400/2438 processed, 17 found
425/2438 processed, 18 found
450/2438 processed, 20 found
475/2438 processed, 20 found
500/2438 processed, 21 found
525/2438 processed, 24 found
550/2438 processed, 28 found
575/2438 processed, 31 found
600/2438 processed, 32 found
625/2438 processed, 34 found
650/2438 processed, 36 found
675/2438 processed, 38 found
700/2438 processed, 40 found
725/2438 processed, 44 found
750/2438 processed, 44 found
775/2438 processed, 44 found
800/2438 processed, 47 found
825/2438 processed, 49 found
850/2438 processed, 49 found
875/2438 processed, 51 found
900/2438 processed, 52 found
925/2438 processed, 52 found
950/2438 processed, 52 found
975/2438 processed, 54 found
1000/2438 processed, 57 found
1025/2438 processed, 60 found
1050/2438 processed, 63 found
1075/2438 processed, 67 found
1100/2438 processed, 69 found
1125/2438 processed, 70 found
1150/2438 processed, 72 found
1175/2438 processed, 73 found
1200/2438 processed, 74 found
1225/2438 processed, 77 found
1250/2438 processed, 77 found
1275/2438 processed, 78 found
1300/2438 processed, 79 found
1325/2438 processed, 79 found
1350/2438 processed, 81 found
1375/2438 processed, 81 found
1400/2438 processed, 81 found
1425/2438 processed, 82 found
1450/2438 processed, 83 found
1475/2438 processed, 83 found
1500/2438 processed, 83 found
1525/2438 processed, 87 found
1550/2438 processed, 88 found
1575/2438 processed, 89 found
1600/2438 processed, 91 found
1625/2438 processed, 93 found
1650/2438 processed, 93 found
1675/2438 processed, 94 found
1700/2438 processed, 94 found
1725/2438 processed, 96 found
1750/2438 processed, 96 found
1775/2438 processed, 97 found
1800/2438 processed, 98 found
1825/2438 processed, 101 found
1850/2438 processed, 104 found
1875/2438 processed, 106 found
1900/2438 processed, 107 found
1925/2438 processed, 108 found
1950/2438 processed, 109 found
1975/2438 processed, 110 found
2000/2438 processed, 112 found
2025/2438 processed, 112 found
2050/2438 processed, 112 found
2075/2438 processed, 113 found
2100/2438 processed, 113 found
2125/2438 processed, 113 found
2150/2438 processed, 116 found
2175/2438 processed, 116 found
2200/2438 processed, 116 found
2225/2438 processed, 116 found
2250/2438 processed, 116 found
2275/2438 processed, 116 found
2300/2438 processed, 116 found
2325/2438 processed, 117 found
2350/2438 processed, 119 found
2375/2438 processed, 119 found
2400/2438 processed, 119 found
2425/2438 processed, 119 found
DONE 119
